To find out the optimal move to get a 64 tile when you have something like

16384 8192  256   (7)
4096  2048  128   (6)
1024  512   64    (5)
(1)   (2)   (3)   (4)

Collect the seven tiles in the given order and look for the move below.

0,2,0,0,0,0,0:l
2,2,0,0,0,0,0:l
0,4,0,0,0,0,0:l
4,4,0,0,0,0,0:l
0,8,0,0,0,0,0:l
8,8,0,0,0,0,0:l
0,16,0,0,0,0,0:l
16,16,0,0,0,0,0:l
0,32,0,0,0,0,0:l
32,32,0,0,0,0,0:l
0,0,2,0,0,0,0:l
2,0,2,0,0,0,0:l
4,0,2,0,0,0,0:l
8,0,2,0,0,0,0:l
16,0,2,0,0,0,0:l
32,0,2,0,0,0,0:l
0,2,2,0,0,0,0:l
2,2,2,0,0,0,0:l
4,2,2,0,0,0,0:l
8,2,2,0,0,0,0:l
16,2,2,0,0,0,0:l
32,2,2,0,0,0,0:l
0,4,2,0,0,0,0:l
4,4,2,0,0,0,0:l
0,8,2,0,0,0,0:l
8,8,2,0,0,0,0:l
0,16,2,0,0,0,0:l
16,16,2,0,0,0,0:l
0,32,2,0,0,0,0:l
32,32,2,0,0,0,0:l
0,0,4,0,0,0,0:l
2,0,4,0,0,0,0:l
4,0,4,0,0,0,0:l
8,0,4,0,0,0,0:l
16,0,4,0,0,0,0:l
32,0,4,0,0,0,0:l
0,2,4,0,0,0,0:l
2,2,4,0,0,0,0:l
0,4,4,0,0,0,0:l
2,4,4,0,0,0,0:l
4,4,4,0,0,0,0:l
8,4,4,0,0,0,0:l
16,4,4,0,0,0,0:l
32,4,4,0,0,0,0:l
0,8,4,0,0,0,0:l
8,8,4,0,0,0,0:l
0,16,4,0,0,0,0:l
16,16,4,0,0,0,0:l
0,32,4,0,0,0,0:l
32,32,4,0,0,0,0:l
0,0,8,0,0,0,0:l
2,0,8,0,0,0,0:l
4,0,8,0,0,0,0:l
8,0,8,0,0,0,0:l
16,0,8,0,0,0,0:l
32,0,8,0,0,0,0:l
0,2,8,0,0,0,0:l
2,2,8,0,0,0,0:l
0,4,8,0,0,0,0:l
4,4,8,0,0,0,0:l
0,8,8,0,0,0,0:l
2,8,8,0,0,0,0:l
4,8,8,0,0,0,0:l
8,8,8,0,0,0,0:l
16,8,8,0,0,0,0:l
32,8,8,0,0,0,0:l
0,16,8,0,0,0,0:l
16,16,8,0,0,0,0:l
0,32,8,0,0,0,0:l
32,32,8,0,0,0,0:l
0,0,16,0,0,0,0:l
2,0,16,0,0,0,0:l
4,0,16,0,0,0,0:l
8,0,16,0,0,0,0:l
16,0,16,0,0,0,0:l
32,0,16,0,0,0,0:l
0,2,16,0,0,0,0:l
2,2,16,0,0,0,0:l
0,4,16,0,0,0,0:l
4,4,16,0,0,0,0:l
0,8,16,0,0,0,0:l
8,8,16,0,0,0,0:l
0,16,16,0,0,0,0:l
2,16,16,0,0,0,0:l
4,16,16,0,0,0,0:l
8,16,16,0,0,0,0:l
16,16,16,0,0,0,0:l
32,16,16,0,0,0,0:l
0,32,16,0,0,0,0:l
32,32,16,0,0,0,0:l
0,0,32,0,0,0,0:l
2,0,32,0,0,0,0:l
4,0,32,0,0,0,0:l
8,0,32,0,0,0,0:l
16,0,32,0,0,0,0:l
32,0,32,0,0,0,0:l
0,2,32,0,0,0,0:l
2,2,32,0,0,0,0:l
0,4,32,0,0,0,0:l
4,4,32,0,0,0,0:l
0,8,32,0,0,0,0:l
8,8,32,0,0,0,0:l
0,16,32,0,0,0,0:l
16,16,32,0,0,0,0:l
0,32,32,0,0,0,0:l
2,32,32,0,0,0,0:l
4,32,32,0,0,0,0:l
8,32,32,0,0,0,0:l
16,32,32,0,0,0,0:l
32,32,32,0,0,0,0:l
0,0,0,2,0,0,0:u
2,0,0,2,0,0,0:u
4,0,0,2,0,0,0:l
8,0,0,2,0,0,0:l
16,0,0,2,0,0,0:l
32,0,0,2,0,0,0:l
0,2,0,2,0,0,0:u
2,2,0,2,0,0,0:u
4,2,0,2,0,0,0:u
8,2,0,2,0,0,0:u
16,2,0,2,0,0,0:u
32,2,0,2,0,0,0:u
0,4,0,2,0,0,0:u
2,4,0,2,0,0,0:l
4,4,0,2,0,0,0:u
8,4,0,2,0,0,0:l
16,4,0,2,0,0,0:l
32,4,0,2,0,0,0:l
0,8,0,2,0,0,0:u
2,8,0,2,0,0,0:l
4,8,0,2,0,0,0:u
8,8,0,2,0,0,0:u
16,8,0,2,0,0,0:l
32,8,0,2,0,0,0:l
0,16,0,2,0,0,0:u
2,16,0,2,0,0,0:l
4,16,0,2,0,0,0:l
8,16,0,2,0,0,0:l
